384well,89,96well,1,7
384well,90,96well,1,12
384well,91,96well,1,7
384well,92,96well,1,9
384well,93,96well,1,7
384well,94,96well,1,7
384well,95,96well,1,12
384well,96,96well,1,35
384well,97,96well,1,7
384well,98,96well,1,12
384well,99,96well,1,14
384well,100,96well,1,7
384well,101,96well,1,18
384well,102,96well,1,12
384well,103,96well,1,12
384well,104,96well,1,7
384well,105,96well,1,5
384well,106,96well,1,12
384well,107,96well,1,9
384well,108,96well,1,7
384well,109,96well,1,7
384well,110,96well,1,6
384well,111,96well,1,12
384well,112,96well,1,18
384well,113,96well,1,9
384well,114,96well,1,9
384well,115,96well,1,7
384well,116,96well,1,7
384well,117,96well,1,9
384well,118,96well,1,9
384well,119,96well,1,12
384well,120,96well,1,6
384well,121,96well,1,9
384well,122,96well,1,6
