384well,6,96well,1,5
384well,7,96well,1,7
384well,8,96well,1,7
384well,9,96well,1,10
384well,10,96well,1,6
384well,11,96well,1,7
384well,12,96well,1,6
384well,13,96well,1,9
384well,14,96well,1,6
384well,15,96well,1,6
384well,16,96well,1,9
384well,17,96well,1,6
384well,18,96well,1,9
384well,19,96well,1,6
384well,20,96well,1,6
384well,21,96well,1,6
384well,22,96well,1,13
384well,23,96well,1,9
384well,24,96well,1,6
384well,25,96well,1,10
384well,26,96well,1,9
384well,27,96well,1,7
384well,28,96well,1,6
384well,29,96well,1,10
384well,30,96well,1,10
384well,31,96well,1,80
384well,32,96well,1,6
384well,33,96well,1,5
384well,34,96well,1,5
384well,35,96well,1,5
384well,36,96well,1,6
384well,37,96well,1,60
384well,38,96well,1,6
384well,39,96well,1,13
384well,40,96well,1,9
384well,41,96well,1,5
384well,42,96well,1,10
384well,43,96well,1,6
384well,44,96well,1,7
384well,45,96well,1,6
384well,46,96well,1,13
384well,47,96well,1,10
384well,48,96well,1,5
384well,49,96well,1,6
384well,50,96well,1,10
384well,51,96well,2,5
384well,52,96well,2,5
384well,53,96well,2,9
384well,54,96well,2,10
384well,55,96well,2,9
384well,56,96well,2,7
384well,57,96well,2,9
384well,58,96well,2,7
384well,59,96well,2,13
384well,60,96well,2,6
384well,61,96well,2,6
384well,62,96well,2,10
384well,63,96well,2,13
384well,64,96well,2,13
384well,65,96well,2,5
384well,66,96well,2,7
384well,67,96well,2,45
384well,68,96well,2,7
384well,69,96well,2,13
