384well,51,96well,1,7
384well,52,96well,1,12
384well,53,96well,1,9
384well,54,96well,1,9
384well,55,96well,1,6
384well,56,96well,1,12
384well,57,96well,1,7
384well,58,96well,1,6
384well,59,96well,1,12
384well,60,96well,1,12
384well,61,96well,1,12
384well,62,96well,1,7
384well,63,96well,1,9
384well,64,96well,1,11
384well,65,96well,1,7
384well,66,96well,1,18
384well,67,96well,1,12
384well,68,96well,1,7
384well,69,96well,1,12
384well,70,96well,1,9
384well,71,96well,1,7
384well,72,96well,1,7
384well,73,96well,1,12
384well,74,96well,1,9
384well,75,96well,1,7
384well,76,96well,1,12
384well,77,96well,1,9
384well,78,96well,1,9
384well,79,96well,1,5
384well,80,96well,1,9
384well,81,96well,1,7
384well,82,96well,1,7
384well,83,96well,1,12
384well,84,96well,1,7
384well,85,96well,1,12
384well,86,96well,1,7
384well,87,96well,1,5
384well,88,96well,1,7
