384well,107,96well,1,9
384well,108,96well,1,4
384well,109,96well,1,9
384well,110,96well,1,5
384well,111,96well,1,12
384well,112,96well,1,9
384well,113,96well,1,5
384well,114,96well,1,5
384well,115,96well,1,7
384well,116,96well,1,12
384well,117,96well,1,7
384well,118,96well,1,6
384well,119,96well,1,5
384well,120,96well,1,5
384well,121,96well,1,7
384well,122,96well,1,12
384well,123,96well,1,6
384well,124,96well,1,5
384well,125,96well,1,7
384well,126,96well,1,7
384well,127,96well,1,12
384well,128,96well,1,6
384well,129,96well,1,7
384well,130,96well,1,7
